age,annual_income,credit_score,online_visits_per_month,previous_purchases,days_since_last_purchase,marketing_emails_opened,purchased_premium_membership
22,85798,719,13,3,56,8,0
58,61647,688,11,5,129,11,1
52,70454,703,12,6,2,9,1
40,58978,734,11,5,82,12,1
40,56933,623,9,3,67,5,0
62,45969,741,8,5,31,11,1
22,67745,584,10,4,353,9,0
54,44672,703,12,3,288,9,1
28,71981,693,20,8,343,6,1
22,79535,637,14,3,88,9,1
45,66598,678,9,1,105,8,0
68,54848,636,14,6,103,13,1
56,68171,605,12,5,204,11,1
57,54444,655,11,4,67,5,1
55,76840,603,7,2,86,5,1
58,27035,703,13,0,355,4,0
44,53959,599,16,4,129,8,1
24,24165,730,13,3,285,11,0
61,33089,597,16,9,84,10,1
41,84550,640,18,4,339,11,1
44,76113,636,16,3,253,8,0
37,47049,773,8,2,314,9,0
27,32955,703,11,5,188,9,0
66,15000,665,8,2,330,6,0
58,50217,715,11,2,133,12,0
51,103567,532,17,2,175,3,0
38,67828,677,7,3,23,4,1
60,49928,820,18,5,63,10,1
46,68371,689,11,4,281,5,0
41,31903,685,20,4,119,7,1
41,54648,718,14,4,38,18,1
29,61791,743,15,3,107,11,1
22,58450,540,8,8,129,10,0
46,74235,562,9,3,262,9,0
64,66204,695,10,12,33,7,1
21,72030,630,16,6,10,7,1
62,47609,772,15,8,264,5,1
61,76161,658,12,4,52,7,0
32,89321,545,21,4,153,8,1
50,42537,591,18,5,249,7,1
26,44021,488,11,5,188,8,0
57,84044,664,10,4,45,7,1
54,56556,667,9,2,263,6,0
36,85269,650,12,7,18,8,0
21,52034,756,13,6,85,7,1
68,86191,764,11,4,40,8,1
41,62367,668,9,4,187,11,0
64,64648,531,8,11,252,7,1
53,88165,723,15,8,237,9,1
58,53488,719,16,5,51,8,1
57,43060,702,15,6,125,8,1
28,51926,749,11,3,54,8,1
36,68142,598,15,8,125,8,1
42,31816,821,18,3,84,9,1
43,71474,613,13,3,270,14,1
20,50302,732,9,5,274,6,0
46,80661,562,11,5,298,9,1
26,16903,615,9,6,73,5,0
56,45842,786,6,11,5,12,1
53,29644,662,12,4,13,7,1
65,45128,739,11,9,308,4,1
56,64458,697,12,5,330,5,0
37,56774,673,12,3,78,12,1
68,55439,775,10,3,319,12,1
39,57135,663,16,4,193,7,0
34,63661,555,13,4,68,12,0
65,41846,624,15,5,114,7,0
37,72723,719,14,0,97,3,0
21,71928,708,11,6,278,7,0
42,66931,570,12,6,69,5,0
59,70018,629,12,3,67,8,1
27,65336,639,9,3,262,12,0
42,96631,654,9,6,111,6,1
24,58432,584,9,5,92,11,0
53,54473,636,13,4,295,10,0
42,46437,629,15,5,340,6,0
35,41419,734,11,9,203,6,1
29,37600,737,7,1,302,9,0
47,44002,670,17,9,307,12,1
52,58728,653,10,2,215,10,0
66,66017,690,10,6,303,3,0
40,60921,623,12,3,4,9,1
26,46220,600,12,4,13,8,0
61,76203,614,13,2,322,8,0
50,73309,636,16,8,52,13,1
54,57126,599,15,7,265,5,0
23,48248,691,15,4,153,8,1
34,69872,731,8,7,287,6,1
57,63384,569,14,6,243,10,0
61,33934,682,14,4,27,11,1
40,58776,665,12,5,123,6,1
59,64717,704,18,4,258,6,1
61,43805,679,10,4,336,10,1
38,63417,578,19,3,293,2,0
64,33813,592,10,4,325,10,0
32,84051,682,12,7,349,8,0
