spending_score,engagement_score,purchases_last_year,days_since_last_purchase,premium_customer
25.5,36.8,6,8,0
17.5,38.7,0,21,0
76.6,93.1,2,18,1
76.4,90.4,13,0,1
20.8,34.1,3,23,0
83.0,76.3,13,1,1
82.1,85.8,1,14,1
66.1,89.9,7,0,1
64.1,95.9,15,4,1
14.1,28.2,0,1,0
30.4,26.1,19,10,0
31.6,30.6,0,5,0
71.4,91.6,11,5,1
75.7,81.6,3,0,1
20.9,21.5,1,23,0
8.8,31.5,0,22,0
16.5,33.8,0,27,0
80.3,95.5,1,0,1
12.7,40.2,5,9,0
62.9,82.6,22,3,1
34.9,30.2,4,29,0
79.8,73.2,28,5,1
26.3,21.8,12,8,0
85.2,82.7,0,0,1
37.5,29.5,0,30,0
83.8,88.5,12,6,1
36.8,41.0,0,18,0
25.9,18.5,9,10,0
85.0,76.4,2,0,1
31.7,24.8,0,0,0
13.2,24.2,0,23,0
41.5,39.7,10,20,0
68.4,89.0,8,3,1
80.3,75.6,16,0,1
68.6,64.7,5,11,1
33.2,49.5,13,20,0
72.7,73.7,22,0,1
85.0,69.3,5,0,1
15.9,30.9,2,13,0
29.4,30.7,0,14,0
67.4,74.6,2,10,1
25.5,34.2,1,19,0
33.4,25.7,13,17,0
30.0,35.0,2,8,0
66.4,95.3,0,5,1
79.6,87.7,5,0,1
88.6,95.2,9,11,1
23.0,23.3,19,14,0
79.3,87.1,5,17,1
73.7,81.7,0,0,1
33.8,45.7,0,19,0
18.7,29.1,6,22,0
82.2,90.2,13,0,1
24.0,22.4,0,17,0
75.4,71.5,2,0,1
23.9,30.6,0,10,0
27.7,31.5,8,12,0
75.5,82.2,19,0,1
66.2,81.8,18,0,1
70.6,81.6,0,0,1
13.4,12.4,6,11,0
60.0,76.9,10,7,1
69.6,80.3,0,0,1
5.2,23.6,7,13,0
60.8,88.5,10,14,1
29.7,47.5,0,10,0
79.0,91.9,26,0,1
23.6,30.1,0,3,0
25.8,26.0,0,16,0
25.6,23.1,14,19,0
37.7,25.9,0,14,0
60.4,82.2,0,2,1
83.3,68.6,0,0,1
28.1,33.4,10,17,0
90.6,76.0,0,15,1
12.1,39.3,0,9,0
17.9,31.2,2,6,0
17.2,36.3,11,8,0
71.7,72.6,8,0,1
76.6,82.5,22,12,1
30.2,47.3,0,17,0
23.5,41.0,0,9,0
87.5,77.8,6,1,1
69.6,78.8,2,1,1
70.1,75.7,4,10,1
81.2,84.4,10,1,1
33.0,6.8,19,14,0
20.7,23.8,4,7,0
27.7,33.7,7,19,0
16.3,27.5,12,16,0
32.6,35.2,0,21,0
64.1,78.8,12,17,1
67.9,87.6,15,15,1
59.9,81.7,8,0,1
68.7,69.0,10,9,1
62.8,57.3,4,7,1
11.3,40.8,1,25,0
24.0,33.4,0,12,0
93.4,68.2,18,12,1
30.5,44.8,7,12,0
20.5,28.3,0,9,0
30.0,46.5,2,9,0
35.4,29.8,0,11,0
19.6,38.3,0,30,0
19.2,28.0,1,20,0
15.2,35.7,0,12,0
17.6,31.9,10,19,0
29.3,38.6,0,8,0
79.0,75.7,12,18,1
79.0,80.4,8,0,1
19.9,33.5,8,21,0
71.3,83.7,14,1,1
21.2,29.9,6,15,0
73.0,78.1,8,7,1
27.6,20.0,9,14,0
30.3,39.4,3,5,0
20.9,31.8,2,25,0
65.1,80.9,19,6,1
26.3,33.9,4,35,0
35.1,24.3,6,21,0
29.5,30.6,6,8,0
68.4,74.2,24,3,1
53.0,76.0,4,14,1
20.2,32.6,0,19,0
28.9,31.5,0,21,0
75.3,73.9,6,0,1
79.1,88.2,3,10,1
28.6,47.3,0,22,0
69.2,86.1,13,18,1
34.6,26.7,0,7,0
81.1,84.9,0,1,1
31.7,21.0,6,27,0
22.6,41.0,1,16,0
19.5,48.0,10,12,0
65.5,93.1,1,8,1
88.9,77.4,23,10,1
23.4,39.1,7,0,0
36.7,28.2,3,4,0
66.9,80.7,1,5,1
75.0,85.3,0,0,1
71.8,82.2,8,4,1
85.9,93.1,33,0,1
23.1,22.7,0,21,0
78.3,77.5,1,0,1
85.2,78.8,12,10,1
70.2,93.8,24,0,1
59.7,73.1,5,18,1
24.8,24.0,0,22,0
21.4,10.6,0,21,0
76.3,80.4,9,5,1
79.9,81.3,3,5,1
13.8,44.0,0,9,0
78.4,80.6,3,2,1
74.1,72.8,15,0,1
69.7,77.6,0,0,1
75.1,100.0,0,11,1
76.8,84.0,13,6,1
88.7,66.0,11,7,1
66.0,99.3,20,8,1
22.1,21.0,0,24,0
27.2,25.0,0,11,0
22.9,42.8,6,13,0
87.9,80.8,1,0,1
24.3,41.5,0,29,0
59.2,86.0,0,3,1
74.2,70.1,25,16,1
24.2,30.2,8,17,0
34.0,37.6,0,18,0
19.6,32.2,0,32,0
76.8,65.1,13,5,1
75.7,62.2,6,0,1
18.4,31.9,4,11,0
57.1,63.0,3,7,1
82.3,75.6,7,0,1
73.1,83.7,16,2,1
75.8,92.4,0,0,1
26.8,40.5,0,16,0
72.8,77.8,14,6,1
28.3,28.1,7,30,0
82.8,84.2,0,0,1
72.5,80.0,0,8,1
36.6,37.7,19,9,0
69.3,78.2,17,5,1
77.8,80.7,11,5,1
25.7,18.3,0,9,0
69.3,95.6,4,4,1
78.0,89.8,3,0,1
74.7,80.5,15,0,1
81.8,78.9,11,2,1
14.2,22.2,12,10,0
72.9,64.0,13,0,1
38.8,33.5,2,16,0
24.1,21.7,0,5,0
40.0,38.6,0,25,0
67.0,78.5,0,4,1
26.9,50.8,7,1,0
66.8,69.2,0,12,1
20.2,27.7,0,30,0
78.4,80.3,0,0,1
16.4,34.9,7,13,0
12.5,26.6,14,22,0
64.7,68.8,3,11,1
83.5,91.6,1,0,1
32.3,23.6,14,13,0
34.5,50.7,7,18,0
71.2,87.0,10,5,1
73.6,86.2,12,0,1
75.8,96.3,10,3,1
28.8,32.7,10,11,0
81.5,70.8,15,15,1
21.6,27.7,0,8,0
83.8,83.8,8,0,1
72.0,77.5,18,7,1
82.4,83.9,11,8,1
11.5,29.2,0,6,0
82.8,63.2,17,14,1
77.7,82.5,12,0,1
78.1,78.4,22,16,1
94.4,83.5,0,0,1
73.4,74.0,16,16,1
76.6,72.8,0,5,1
29.0,32.1,0,10,0
18.3,27.5,5,23,0
63.0,74.8,7,0,1
25.2,41.3,1,19,0
72.0,74.2,11,16,1
79.0,91.6,13,0,1
80.2,86.5,0,6,1
38.1,35.9,3,2,0
29.1,27.9,8,20,0
69.8,90.6,19,0,1
77.8,100.0,0,3,1
11.6,34.3,0,20,0
77.1,78.1,8,0,1
24.9,34.6,3,7,0
27.6,40.7,0,16,0
73.4,79.9,13,8,1
78.4,89.6,0,0,1
72.9,77.3,16,7,1
33.7,33.8,2,22,0
26.7,14.3,0,17,0
38.5,26.3,11,15,0
34.0,29.6,0,25,0
29.9,31.5,0,17,0
67.6,67.2,5,1,1
23.0,42.9,6,21,0
53.9,80.0,11,10,1
24.9,21.5,9,5,0
66.2,68.2,2,13,1
21.5,27.5,4,11,0
34.2,24.4,2,29,0
14.8,37.0,7,14,0
32.4,45.3,0,20,0
59.2,87.1,0,9,1
68.3,74.9,1,0,1
66.0,76.9,9,13,1
20.4,31.0,22,14,0
89.0,91.1,0,9,1
23.0,24.0,0,8,0
24.8,44.2,15,11,0
60.1,88.1,3,9,1
83.1,70.0,9,11,1
68.7,74.5,1,0,1
26.4,18.7,1,8,0
28.1,29.7,0,14,0
84.7,88.5,15,0,1
83.0,93.6,0,0,1
81.8,63.0,7,0,1
30.0,23.1,0,19,0
21.4,35.0,0,14,0
29.7,38.9,9,19,0
74.2,83.4,1,13,1
23.2,32.9,14,11,0
35.0,22.8,1,11,0
18.9,31.2,5,30,0
76.2,75.1,9,16,1
25.5,49.7,0,17,0
82.1,76.6,0,5,1
37.9,37.2,0,8,0
15.2,18.3,4,23,0
30.9,32.4,12,27,0
36.1,28.0,4,17,0
16.7,28.5,0,4,0
72.6,70.3,11,5,1
42.0,38.3,0,11,0
67.8,76.7,0,8,1
18.2,17.9,0,22,0
27.2,21.0,22,16,0
33.5,39.4,13,20,0
63.8,84.7,2,1,1
41.1,31.1,0,16,0
77.0,86.6,8,7,1
29.1,24.2,3,9,0
