house_size_sqft,bedrooms,bathrooms,house_age_years,distance_to_city_km,house_price
903,5,4,38,33.9,369787
3231,4,1,33,18.4,601561
2825,3,2,46,38.2,353319
2092,5,2,48,26.4,428055
2072,1,4,35,5.5,497071
3519,5,1,18,35.5,676334
892,5,2,29,20.1,331055
2971,3,1,21,6.5,663902
1284,4,4,31,7,523551
920,3,3,40,27.8,231644
2390,2,2,18,2.8,531337
3917,4,2,25,12.2,810471
3101,2,1,2,6.5,637182
3187,2,4,36,18.2,649018
3039,3,3,24,17.2,646459
3272,5,2,22,21.4,747641
2344,2,2,26,11.9,512799
1035,3,3,10,2.2,395884
3455,1,3,29,25,575105
2131,1,2,37,15.6,348238
2301,1,2,17,26.4,311087
1860,1,3,6,5.2,404308
1220,5,3,19,1.5,515515
3751,5,3,9,10.7,925828
3257,5,1,18,18.8,717417
2789,1,2,31,16.4,460936
1968,1,3,5,32.6,435070
3397,2,4,37,15.7,602355
2454,3,3,11,21.7,569558
2107,2,2,44,24.1,361445
2131,3,3,36,1.9,522286
1372,1,1,13,21.1,250495
913,4,1,28,14.4,255108
2485,2,3,5,17.4,598911
3618,1,4,4,4.9,731911
816,4,4,47,31.5,318406
3518,5,3,40,37.8,683033
3413,1,1,7,1.9,663997
1540,3,4,14,24.5,450118
2747,5,2,9,30.8,646317
1161,4,2,19,12.1,395274
3177,5,4,14,31.7,754126
2981,3,3,16,25.7,621243
1805,2,3,26,37.2,308538
830,4,2,9,39.3,260394
3900,1,4,44,2.7,693425
2115,2,2,36,18.4,465191
3636,4,3,38,22.3,718147
2904,4,4,8,6.7,823508
3246,1,3,35,14.1,542787
3183,3,1,41,39.5,470509
1261,2,2,8,1.6,360938
1837,3,2,37,18.6,390276
2186,5,4,17,33.9,607607
2292,1,3,39,13.6,459163
748,5,2,23,19.7,347183
2458,3,3,40,39.1,470313
1124,4,3,7,19.5,455493
3127,3,2,19,6.1,722018
2922,2,2,13,3,620130
3736,4,4,12,37.9,842623
3132,4,3,15,11.4,728155
1846,1,1,19,20.7,288614
3889,4,3,6,4.5,881161
1996,4,3,35,17.5,585810
1707,2,3,27,37.3,338971
3678,5,3,41,20.6,767380
1859,4,4,35,38.9,478178
859,2,2,7,11.1,308511
2196,1,2,3,20.7,489415
3305,4,1,21,34.5,554531
1244,2,3,24,18.5,311954
2173,4,2,12,11.9,576170
1041,3,2,39,34.4,141625
2934,3,3,29,16.2,642550
2217,1,2,37,21.7,336125
1722,4,2,5,39.1,456670
1371,1,2,40,8.3,333965
2519,3,2,10,12.8,576336
2877,5,1,22,2.2,703859
3797,5,4,21,16.3,899343
2086,5,1,41,8.8,567760
1146,5,2,13,27.5,396397
3431,3,3,12,8.1,739787
2741,2,1,16,27.3,494663
2980,5,3,18,11.3,775524
930,5,3,9,14.9,400670
1662,5,3,8,14.6,558972
3210,4,2,11,29,708741
3429,1,1,23,19.2,538555
2079,3,4,17,15.1,539117
3336,3,2,19,34.3,586409
3461,5,4,35,23.3,775622
1917,2,1,12,9.3,457061
3653,2,1,45,36.1,450318
1580,1,4,37,14.4,315848
1414,5,4,8,2.5,641937
2920,4,4,15,20.3,704433
2764,1,4,9,5.8,626644
1075,3,1,13,10.3,301888
3431,3,4,18,30.1,696430
1279,3,3,6,6.1,503552
3336,5,1,0,32.5,730825
625,1,1,21,37.5,22340
3309,2,4,35,24.7,592901
3275,1,2,15,28.7,489568
3253,2,4,43,28.8,548743
2860,5,1,18,39.7,611993
2203,5,2,45,14.3,548397
2997,1,2,11,7.4,542927
1542,4,2,26,21.2,410475
3254,2,3,38,21.8,567579
2489,1,4,2,7.9,571428
2160,2,4,46,24.9,425854
2319,1,3,18,1.6,531324
2533,3,1,24,37.2,452823
726,5,4,31,11.3,452205
1075,3,3,32,2.5,412349
1434,4,3,1,5.2,535814
989,3,3,43,10.4,279596
2094,1,4,31,11.7,440364
2872,1,4,49,2.3,524384
2825,2,3,23,11.9,544055
2201,2,3,30,8.5,479149
3507,5,3,22,15.8,800965
2521,5,2,44,16,569238
869,5,2,41,14.2,333042
3200,4,3,45,13.8,703381
2553,3,1,25,4.5,563032
2758,4,2,39,2,713048
2522,3,3,17,8.9,620539
2482,4,4,23,30.5,580121
907,4,3,38,39.6,236224
2501,4,2,4,37.2,559688
3302,4,2,35,20.7,663767
1633,1,3,0,21.7,445096
2649,4,3,29,13.3,609007
704,2,1,23,31.2,131021
1781,4,3,23,30.8,467823
2084,3,2,24,33.9,362835
3941,5,3,24,35.9,829812
1329,2,4,20,17.9,415485
1540,5,4,22,30.9,480402
1988,5,3,28,32.4,522389
3975,2,2,38,13,638047
3501,3,2,27,37.2,548354
717,3,1,32,4.7,272941
1395,4,4,41,39.8,334811
3393,4,4,49,31,615334
798,5,4,5,4.6,523229
3509,2,2,35,26.6,544156
1556,3,2,11,2.3,476487
3720,3,4,9,31,775358
1598,5,3,39,32.2,402901
2076,2,3,3,24.5,451810
2850,3,2,42,34.4,468679
1029,1,2,38,4.8,248494
2493,5,3,49,11.8,657198
2317,2,4,33,17.2,475524
3265,2,2,43,2.7,625227
3986,3,4,5,18.5,838906
2858,3,1,44,11.3,577318
1991,5,2,8,16.3,573465
1981,3,4,15,17.6,583228
2021,3,4,6,35.3,480975
3367,1,4,20,11.5,705424
1692,1,2,37,35.9,230421
1167,2,4,13,17.6,336429
1736,5,4,41,13.8,542144
677,5,4,30,20.6,387847
