spending_score,engagement_score,purchases_last_year,days_since_last_purchase,premium_customer
60.5,48.8,3,108,0
36.3,35.4,2,150,0
68.5,41.7,6,146,1
71.9,62.7,3,122,0
19.9,50.1,5,68,1
31.6,56.8,8,65,1
57.3,63.4,2,77,0
49.3,42.5,4,46,1
54.7,65.1,7,76,1
39.6,57.6,3,19,0
70.8,25.3,3,58,1
69.0,78.8,8,169,1
56.2,40.0,3,127,0
75.3,16.9,3,26,1
63.4,29.1,2,52,0
39.5,29.6,4,47,1
61.6,51.0,2,51,0
37.7,44.5,9,124,0
70.8,43.3,6,161,1
54.1,62.4,4,128,0
51.7,56.8,6,88,1
42.7,56.3,2,29,1
77.0,58.2,6,26,1
52.2,62.3,4,146,1
47.3,7.8,9,122,0
48.7,42.7,6,92,0
64.6,6.4,5,104,0
61.6,50.7,6,152,1
62.4,49.9,5,146,0
62.8,70.9,6,16,1
93.5,73.8,6,71,1
47.7,54.1,4,8,1
45.8,40.0,7,69,0
40.4,59.7,4,115,1
66.1,39.4,4,38,1
75.3,50.0,8,27,1
52.9,69.7,6,88,1
39.9,38.8,2,94,0
40.2,66.1,9,128,1
66.7,63.5,5,3,1
68.4,30.9,3,45,1
64.8,69.5,7,140,0
43.0,64.0,3,123,0
59.2,52.0,0,162,0
57.1,34.8,8,146,0
58.9,32.8,5,151,0
70.7,39.2,4,92,0
59.0,60.9,2,172,0
67.2,30.9,4,75,0
56.2,58.8,6,162,1
60.2,25.2,5,71,0
66.4,45.9,3,80,1
28.8,52.2,4,123,1
49.2,98.9,1,72,0
46.5,22.5,8,27,1
43.5,79.4,6,161,0
50.0,53.0,5,82,1
81.9,58.2,5,166,0
39.4,52.4,4,72,1
72.4,58.9,3,175,0
24.7,46.9,5,108,1
49.0,79.1,4,138,1
57.9,40.9,8,136,0
65.6,72.6,7,37,1
67.8,37.1,4,146,0
69.3,48.8,5,170,0
48.7,28.6,11,119,0
46.7,59.1,5,170,1
70.4,78.9,3,152,1
51.6,48.5,8,120,1
32.0,46.1,5,86,0
34.6,27.7,7,154,0
38.4,45.4,4,34,1
63.9,18.1,5,101,0
57.6,31.7,6,147,0
67.4,54.5,6,169,0
47.3,76.4,3,48,1
57.9,100.0,7,17,1
66.3,38.3,4,60,1
49.4,78.7,3,155,0
63.2,54.9,4,94,1
43.1,47.0,10,10,1
48.5,58.7,4,22,1
48.1,51.2,5,61,1
33.5,52.2,4,62,1
63.8,41.8,6,25,1
46.6,22.0,2,89,0
55.2,19.1,6,86,0
63.7,63.1,3,36,1
63.0,44.5,9,42,1
67.0,38.1,3,119,0
53.2,50.2,4,171,0
47.4,65.9,6,179,0
53.6,53.6,7,101,0
24.6,36.9,4,7,1
29.0,74.5,7,161,0
31.2,81.6,9,171,1
37.0,59.9,2,50,0
62.2,69.5,6,72,0
38.7,74.8,9,5,1
48.2,72.6,10,144,0
78.4,62.3,5,139,1
48.6,62.0,6,4,0
68.3,60.4,7,126,0
38.2,28.1,6,74,0
51.3,64.0,8,98,0
37.9,22.9,4,40,1
48.9,34.1,7,146,1
70.1,76.1,4,73,1
23.9,66.8,4,151,0
62.8,79.7,5,27,1
59.3,44.6,5,106,1
44.3,27.0,5,56,0
29.0,45.2,5,173,0
56.3,52.0,5,100,0
45.5,51.6,2,129,0
59.2,72.7,8,16,1
55.4,42.8,3,122,0
83.8,57.0,8,19,1
50.7,30.2,5,65,0
36.6,59.0,3,40,0
